FILE,AFFINITY_KCAL_PER_MOL
docked_ligand/mol_195_out.pdbqt,-148.368
docked_ligand/mol_113_out.pdbqt,-125.353
docked_ligand/mol_115_out.pdbqt,-52.773
docked_ligand/mol_112_out.pdbqt,-23.745
docked_ligand/mol_192_out.pdbqt,-8.900
docked_ligand/celecoxib_protonated_out.pdbqt,-4.319
docked_ligand/mol_163_out.pdbqt,-4.016
docked_ligand/mol_164_out.pdbqt,-4.373
docked_ligand/mol_231_out.pdbqt,-4.816
docked_ligand/mol_232_out.pdbqt,-4.612
docked_ligand/mol_289_out.pdbqt,-4.006
docked_ligand/mol_080_out.pdbqt,-3.412
docked_ligand/mol_157_out.pdbqt,-3.081
docked_ligand/mol_199_out.pdbqt,-3.762
docked_ligand/mol_206_out.pdbqt,-3.365
docked_ligand/mol_213_out.pdbqt,-3.256
docked_ligand/mol_287_out.pdbqt,-3.128
docked_ligand/mol_288_out.pdbqt,-3.617
docked_ligand/mol_290_out.pdbqt,-3.566
docked_ligand/mol_291_out.pdbqt,-3.622
docked_ligand/mol_292_out.pdbqt,-3.166
docked_ligand/mol_051_out.pdbqt,-2.049
docked_ligand/mol_052_out.pdbqt,-2.227
docked_ligand/mol_053_out.pdbqt,-2.764
docked_ligand/mol_054_out.pdbqt,-2.018
docked_ligand/mol_058_out.pdbqt,-2.163
docked_ligand/mol_059_out.pdbqt,-2.151
docked_ligand/mol_060_out.pdbqt,-2.291
docked_ligand/mol_078_out.pdbqt,-2.962
docked_ligand/mol_079_out.pdbqt,-2.823
docked_ligand/mol_081_out.pdbqt,-2.376
docked_ligand/mol_132_out.pdbqt,-2.022
docked_ligand/mol_143_out.pdbqt,-2.360
docked_ligand/mol_154_out.pdbqt,-2.952
docked_ligand/mol_155_out.pdbqt,-2.676
docked_ligand/mol_156_out.pdbqt,-2.427
docked_ligand/mol_158_out.pdbqt,-2.815
docked_ligand/mol_183_out.pdbqt,-2.123
docked_ligand/mol_198_out.pdbqt,-2.219
docked_ligand/mol_202_out.pdbqt,-2.551
docked_ligand/mol_203_out.pdbqt,-2.167
docked_ligand/mol_216_out.pdbqt,-2.271
docked_ligand/mol_217_out.pdbqt,-2.129
docked_ligand/mol_248_out.pdbqt,-2.996
docked_ligand/mol_249_out.pdbqt,-2.791
docked_ligand/mol_250_out.pdbqt,-2.608
docked_ligand/mol_252_out.pdbqt,-2.071
docked_ligand/mol_258_out.pdbqt,-2.958
docked_ligand/mol_261_out.pdbqt,-2.950
docked_ligand/mol_263_out.pdbqt,-2.998
docked_ligand/mol_283_out.pdbqt,-2.870
